Year,crop yield (usa) (bushels/acre),Temp (F),Rainfall (inches),Windspeed (mph),Snow (inches),Pesticide (million metric tonnes),GDP ($),Fertiliser Consumption (million Tons),
1990,114.84,0,47.1,0,46.8,1.81,23889,161.99,
1991,116.97,0,32.3,0,38.5,1.79,24342,159.44,
1992,119.1,47.6,43.6,0,98.7,1.82,25419,150.74,
1993,113.5,50.4,61.6,0,38.8,1.84,26387,145.52,
1994,127.1,49.8,29.1,0,85.2,1.89,27695,147.09,
1995,126.7,48.4,32.7,0,85.7,1.96,28691,155.12,
1996,134.4,51.1,31.4,0,60.3,2.02,29968,159.39,
1997,133.8,52.1,31.4,0,61.6,2.09,31459,161.41,
1998,136.9,48.8,47.4,0,32.2,2.13,32854,162.03,
1999,138.2,47.7,20.5,0,50.3,2.16,34515,164.36,
2000,129.3,49,26.2,0,64,2.18,36330,161.34,
2001,142.4,48.4,34.7,0,73.5,2.18,37134,163.28,
2002,160.3,48.4,36.7,0,22.3,2.21,37998,167.47,
2003,147.9,47.8,26.7,0,77.5,2.31,39490,172.81,
2004,149.1,48.5,35.87,0,27.9,2.45,41725,180.22,
2005,150.7,49.6,30.7,0,46.2,2.53,44123,178.19,
2006,153.3,50.4,33,0,44.4,2.51,46302,185.97,
2007,164.4,48.9,43.35,0,73.5,2.77,48050,188.29,
2008,152.6,45.8,43.81,0,48.3,2.83,48570,175.14,
2009,146.8,46.6,40.05,0,36.4,2.73,47195,186.55,
2010,123.1,48.1,44.99,0,68.4,3.03,48651,195.97,
2011,158.1,48.3,32.16,0,24.8,3.05,50066,202.59,
2012,171,51.9,26.5,0,69.9,3.2,51784,205.46,
2013,168.4,46.5,35.33,0,35.4,3.27,53410,209.97,
2014,174.6,45.4,39.66,0,15.4,3.28,55304,210.47,
2015,176.6,49.2,43.44,0,34.3,3.32,57040,213.27,
2016,176.4,50.6,38.77,0,51.4,3.44,58207,215.13,
2017,167.5,49.9,33.11,0,43.5,3.36,60322,217.42,
2018,171.4,47.5,45.08,0,46.3,3.4,63201,213.77,
2019,176.7,46.8,41.63,0,43.9,3.48,65548,215.37,
2020,173.4,49.1,29.28,0,27.9,3.45,64317,210.47,
2021,177.3,50,31.12,0,38.8,3.57,71056,212.7,
2022,183.1,47.5,27.33,0,87.5,3.69,77247,214.93,
